,estimate,p.value,statistic,n,gp,Method
LeftAngG_GMV    LeftAngG_CT,0.241427906,0.334476442,0.995149378,19,1,pearson
LeftAngG_GMV    LeftIFG_GMV,-0.116100363,0.646401775,-0.467563356,19,1,pearson
LeftAngG_GMV    LeftIFG_CT,0.197834524,0.431335421,0.807293913,19,1,pearson
LeftAngG_GMV    LeftIFGorb_GMV,-0.281067429,0.25855055,-1.171494995,19,1,pearson
LeftAngG_GMV    LeftIFGorb_CT,-0.059826939,0.813578261,-0.239737182,19,1,pearson
LeftAngG_GMV    LeftMFG_GMV,0.252647075,0.311791282,1.044472552,19,1,pearson
LeftAngG_GMV    LeftMFG_CT,0.375558583,0.124580307,1.620885313,19,1,pearson
LeftAngG_GMV    LeftMidAntTemp_GMV,0.09809945,0.698565602,0.394299658,19,1,pearson
LeftAngG_GMV    LeftMidAntTemp_CT,0.105478635,0.677010384,0.424281365,19,1,pearson
LeftAngG_GMV    LeftMidPostTemp_GMV,0.327284459,0.184929372,1.385439736,19,1,pearson
LeftAngG_GMV    LeftMidPostTemp_CT,0.273640063,0.271876923,1.13799506,19,1,pearson
LeftAngG_GMV    LeftPostTemp_GMV,0.485012343,0.041338656,2.218448448,19,1,pearson
LeftAngG_GMV    LeftPostTemp_CT,0.47261441,0.047634358,2.145153122,19,1,pearson
LeftAngG_GMV    RightMidAntTemp_GMV,0.470793789,0.048616841,2.134530456,19,1,pearson
LeftAngG_GMV    RightMidAntTemp_CT,-0.003639008,0.988566265,-0.014556127,19,1,pearson
LeftAngG_GMV    RightMidPostTemp_GMV,0.237706945,0.342206608,0.978885658,19,1,pearson
LeftAngG_GMV    RightMidPostTemp_CT,0.373522917,0.126800663,1.610670464,19,1,pearson
LeftAngG_GMV    SSL_accuracy,-0.05786323,0.819600383,-0.231841366,19,1,pearson
LeftAngG_GMV    mean_rt,0.090342949,0.721461709,0.362855616,19,1,pearson
LeftAngG_GMV    scaled_rt_slope,-0.06795,0.788776175,-0.272429657,19,1,pearson
LeftAngG_GMV    TSL_subj_corr,0.311442871,0.208371689,1.310972881,19,1,pearson
LeftAngG_GMV    VSL_subj_corr,-0.030885594,0.903170322,-0.123601345,19,1,pearson
LeftAngG_GMV    LSL_subj_corr,-0.275144208,0.269144528,-1.144761218,19,1,pearson
LeftAngG_GMV    eTIV,0.739051725,0.000458193,4.388351041,19,1,pearson
LeftAngG_CT    LeftAngG_GMV,0.241427906,0.334476442,0.995149378,19,1,pearson
LeftAngG_CT    LeftIFG_GMV,0.042229254,0.867862244,0.169067833,19,1,pearson
LeftAngG_CT    LeftIFG_CT,0.166817103,0.508230478,0.676751147,19,1,pearson
LeftAngG_CT    LeftIFGorb_GMV,-0.356433998,0.146543294,-1.525960294,19,1,pearson
LeftAngG_CT    LeftIFGorb_CT,0.000786275,0.997529458,0.003145099,19,1,pearson
LeftAngG_CT    LeftMFG_GMV,-0.090030152,0.722389934,-0.361589006,19,1,pearson
LeftAngG_CT    LeftMFG_CT,0.528495202,0.024147691,2.490152488,19,1,pearson
LeftAngG_CT    LeftMidAntTemp_GMV,-0.483812109,0.041918734,-2.211278091,19,1,pearson
LeftAngG_CT    LeftMidAntTemp_CT,-0.009847906,0.969063995,-0.039393534,19,1,pearson
LeftAngG_CT    LeftMidPostTemp_GMV,0.02137244,0.932917389,0.085509291,19,1,pearson
LeftAngG_CT    LeftMidPostTemp_CT,0.120468346,0.63396634,0.485408531,19,1,pearson
LeftAngG_CT    LeftPostTemp_GMV,-0.064554006,0.799123057,-0.258755732,19,1,pearson
LeftAngG_CT    LeftPostTemp_CT,0.43477329,0.071375843,1.93116716,19,1,pearson
LeftAngG_CT    RightMidAntTemp_GMV,0.338682766,0.169196553,1.43982375,19,1,pearson
LeftAngG_CT    RightMidAntTemp_CT,0.064781451,0.798429063,0.25967125,19,1,pearson
LeftAngG_CT    RightMidPostTemp_GMV,0.027952331,0.91233116,0.111853032,19,1,pearson
LeftAngG_CT    RightMidPostTemp_CT,0.415577596,0.086318768,1.827602948,19,1,pearson
LeftAngG_CT    SSL_accuracy,0.03919433,0.87728811,0.156897878,19,1,pearson
LeftAngG_CT    mean_rt,0.265694039,0.286594717,1.102399245,19,1,pearson
LeftAngG_CT    scaled_rt_slope,0.058574976,0.817416538,0.234702886,19,1,pearson
LeftAngG_CT    TSL_subj_corr,-0.359241116,0.14316319,-1.539750873,19,1,pearson
LeftAngG_CT    VSL_subj_corr,0.151158187,0.549355362,0.611660985,19,1,pearson
LeftAngG_CT    LSL_subj_corr,-0.479889322,0.043858021,-2.187955952,19,1,pearson
LeftAngG_CT    eTIV,-1.000000002,NA,NA,19,1,pearson
LeftIFG_GMV    LeftAngG_GMV,-0.116100363,0.646401775,-0.467563356,19,1,pearson
LeftIFG_GMV    LeftAngG_CT,0.042229254,0.867862244,0.169067833,19,1,pearson
LeftIFG_GMV    LeftIFG_CT,0.48543175,0.041137408,2.220957894,19,1,pearson
LeftIFG_GMV    LeftIFGorb_GMV,0.590795683,0.009830565,2.929004231,19,1,pearson
LeftIFG_GMV    LeftIFGorb_CT,0.586793665,0.010469441,2.898689475,19,1,pearson
LeftIFG_GMV    LeftMFG_GMV,0.410673594,0.090476549,1.801629776,19,1,pearson
LeftIFG_GMV    LeftMFG_CT,0.471260147,0.048363726,2.137248135,19,1,pearson
LeftIFG_GMV    LeftMidAntTemp_GMV,-0.247787625,0.321501987,-1.023055114,19,1,pearson
LeftIFG_GMV    LeftMidAntTemp_CT,-0.071770039,0.777177459,-0.287822392,19,1,pearson
LeftIFG_GMV    LeftMidPostTemp_GMV,0.196157859,0.435328768,0.800177013,19,1,pearson
